;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202401;Enero de 2024;1;Andalucía;14;Córdoba;14003;Alcaracejos;33;12;5;<5;<5;11;0;<5;<5;9;21
202401;Enero de 2024;1;Andalucía;14;Córdoba;14004;Almedinilla;124;28;46;0;19;31;0;67;8;6;43
202401;Enero de 2024;1;Andalucía;14;Córdoba;14005;Almodóvar del Río;218;14;107;<5;<5;92;<5;80;<5;33;101
202401;Enero de 2024;1;Andalucía;14;Córdoba;14006;Añora;35;<5;17;<5;<5;10;0;8;<5;6;20
202401;Enero de 2024;1;Andalucía;14;Córdoba;14007;Baena;795;216;309;<5;92;171;<5;542;30;76;147
202401;Enero de 2024;1;Andalucía;14;Córdoba;14008;Belalcázar;49;<5;19;0;<5;23;<5;8;<5;11;28
202401;Enero de 2024;1;Andalucía;14;Córdoba;14009;Belmez;17;<5;10;0;<5;<5;0;<5;<5;6;5
202401;Enero de 2024;1;Andalucía;14;Córdoba;14010;Benamejí;220;50;73;<5;38;57;<5;182;12;8;18
202401;Enero de 2024;1;Andalucía;14;Córdoba;14011;Blázquez, Los;14;0;<5;0;<5;9;0;<5;0;<5;9
202401;Enero de 2024;1;Andalucía;14;Córdoba;14012;Bujalance;961;150;505;0;56;248;<5;930;0;<5;29
202401;Enero de 2024;1;Andalucía;14;Córdoba;14013;Cabra;873;432;163;5;192;78;<5;723;33;21;96
202401;Enero de 2024;1;Andalucía;14;Córdoba;14014;Cañete de las Torres;913;174;449;<5;63;222;<5;896;<5;7;7
202401;Enero de 2024;1;Andalucía;14;Córdoba;14015;Carcabuey;250;161;30;0;28;30;<5;215;<5;<5;31
202401;Enero de 2024;1;Andalucía;14;Córdoba;14016;Cardeña;23;8;<5;<5;<5;11;0;10;0;<5;12
202401;Enero de 2024;1;Andalucía;14;Córdoba;14017;Carlota, La;375;63;138;10;45;116;<5;152;52;76;95
202401;Enero de 2024;1;Andalucía;14;Córdoba;14018;Carpio, El;170;28;71;<5;7;62;0;59;45;9;57
202401;Enero de 2024;1;Andalucía;14;Córdoba;14019;Castro del Río;626;186;254;<5;68;113;<5;580;5;9;32
202401;Enero de 2024;1;Andalucía;14;Córdoba;14020;Conquista;9;0;<5;0;<5;6;0;0;0;0;9
202401;Enero de 2024;1;Andalucía;14;Córdoba;14021;Córdoba;8377;1780;2475;162;1074;2732;154;1476;737;664;5500
